protons,symbol,name,period,group,has_image,info
0,n,Neutron,0,0,0,"[em3]Information coming soon...[em3]"
1,H,Hydrogen,1,1,1,"As the very first element [em3]Hydrogen[em3] has only one proton. It's not just first on the Periodic Table, though, it's[br]literally [em1]the first element to exist[em1]. To this day [em2]75% of all the matter in the universe is Hydrogen[em2].[br] [br]Hydrogen on its own is usually a [em1]gas[em1]. The two H's in [em3]H₂0[em3] are the two Hydrogen atoms, combined with one[br]Oxygen atom, to make [em2]water[em2]. In many common reactions between [em1]acids (like vinegar - C₂H₄O₂)[em1] and [em2]bases[em2][br][em2](like baking soda - NaHCO₃)[em2], the acid gives a Hydrogen to the base.[br] [br]Hydrogen has two stable isotopes: [link]Hydrogen-1[link] with zero neutrons, also called [em3]Protium[em3], and [link]Hydrogen-2[link] with[br]one neutron, also called [em3]Deuterium[em3] (remember: the number comes from the sum of neutrons and protons).[br]With two neutrons, [link]Hydrogen-3[link] also has a special name: [em3]Tritium[em3]. Tritium has a [em1]half life[em1] of 12.32 years,[br]making it the most stable [em1]radioisotope[em1] of Hydrogen (isotopes that are [em2]radioactive[em2] and decay). All the other[br]isotopes of Hydrogen are very unstable and have half-lives that are only fractions of a second."
2,He,Helium,1,18,1,"[em3]Information coming soon...[em3]"
3,Li,Lithium,2,1,1,"[em3]Information coming soon...[em3]"
4,Be,Beryllium,2,2,1,"[em3]Information coming soon...[em3]"
5,B,Boron,2,13,1,"[em3]Information coming soon...[em3]"
6,C,Carbon,2,14,1,"[em3]Information coming soon...[em3]"
7,N,Nitrogen,2,15,1,"[em3]Information coming soon...[em3]"
8,O,Oxygen,2,16,1,"[em3]Information coming soon...[em3]"
9,F,Fluorine,2,17,1,"[em3]Information coming soon...[em3]"
10,Ne,Neon,2,18,1,"[em3]Information coming soon...[em3]"
11,Na,Sodium,3,1,1,"[em3]Information coming soon...[em3]"
12,Mg,Magnesium,3,2,1,"[em3]Information coming soon...[em3]"
13,Al,Aluminium,3,13,1,"[em3]Information coming soon...[em3]"
14,Si,Silicon,3,14,1,"[em3]Information coming soon...[em3]"
15,P,Phosphorus,3,15,1,"[em3]Information coming soon...[em3]"
16,S,Sulfur,3,16,1,"[em3]Information coming soon...[em3]"
17,Cl,Chlorine,3,17,1,"[em3]Information coming soon...[em3]"
18,Ar,Argon,3,18,1,"[em3]Information coming soon...[em3]"
19,K,Potassium,4,1,1,"[em3]Information coming soon...[em3]"
20,Ca,Calcium,4,2,1,"[em3]Information coming soon...[em3]"
21,Sc,Scandium,4,3,1,"[em3]Information coming soon...[em3]"
22,Ti,Titanium,4,4,1,"[em3]Information coming soon...[em3]"
23,V,Vanadium,4,5,1,"[em3]Information coming soon...[em3]"
24,Cr,Chromium,4,6,1,"[em3]Information coming soon...[em3]"
25,Mn,Manganese,4,7,1,"[em3]Information coming soon...[em3]"
26,Fe,Iron,4,8,1,"[em3]Information coming soon...[em3]"
27,Co,Cobalt,4,9,1,"[em3]Information coming soon...[em3]"
28,Ni,Nickel,4,10,1,"[em3]Information coming soon...[em3]"
29,Cu,Copper,4,11,1,"[em3]Information coming soon...[em3]"
30,Zn,Zinc,4,12,1,"[em3]Information coming soon...[em3]"
31,Ga,Gallium,4,13,1,"[em3]Information coming soon...[em3]"
32,Ge,Germanium,4,14,1,"[em3]Information coming soon...[em3]"
33,As,Arsenic,4,15,1,"[em3]Information coming soon...[em3]"
34,Se,Selenium,4,16,1,"[em3]Information coming soon...[em3]"
35,Br,Bromine,4,17,1,"[em3]Information coming soon...[em3]"
36,Kr,Krypton,4,18,1,"[em3]Information coming soon...[em3]"
37,Rb,Rubidium,5,1,1,"[em3]Information coming soon...[em3]"
38,Sr,Strontium,5,2,1,"[em3]Information coming soon...[em3]"
39,Y,Yttrium,5,3,1,"[em3]Information coming soon...[em3]"
40,Zr,Zirconium,5,4,1,"[em3]Information coming soon...[em3]"
41,Nb,Niobium,5,5,1,"[em3]Information coming soon...[em3]"
42,Mo,Molybdenum,5,6,1,"[em3]Information coming soon...[em3]"
43,Tc,Technetium,5,7,1,"[em3]Information coming soon...[em3]"
44,Ru,Ruthenium,5,8,1,"[em3]Information coming soon...[em3]"
45,Rh,Rhodium,5,9,1,"[em3]Information coming soon...[em3]"
46,Pd,Palladium,5,10,1,"[em3]Information coming soon...[em3]"
47,Ag,Silver,5,11,1,"[em3]Information coming soon...[em3]"
48,Cd,Cadmium,5,12,1,"[em3]Information coming soon...[em3]"
49,In,Indium,5,13,1,"[em3]Information coming soon...[em3]"
50,Sn,Tin,5,14,1,"[em3]Information coming soon...[em3]"
51,Sb,Antimony,5,15,1,"[em3]Information coming soon...[em3]"
52,Te,Tellurium,5,16,1,"[em3]Information coming soon...[em3]"
53,I,Iodine,5,17,1,"[em3]Information coming soon...[em3]"
54,Xe,Xenon,5,18,1,"[em3]Information coming soon...[em3]"
55,Cs,Caesium,6,1,1,"[em3]Information coming soon...[em3]"
56,Ba,Barium,6,2,1,"[em3]Information coming soon...[em3]"
57,La,Lanthanum,6,19,1,"[em3]Information coming soon...[em3]"
58,Ce,Cerium,6,20,1,"[em3]Information coming soon...[em3]"
59,Pr,Praseodymium,6,21,1,"[em3]Information coming soon...[em3]"
60,Nd,Neodymium,6,22,1,"[em3]Information coming soon...[em3]"
61,Pm,Promethium,6,23,1,"[em3]Information coming soon...[em3]"
62,Sm,Samarium,6,24,1,"[em3]Information coming soon...[em3]"
63,Eu,Europium,6,25,1,"[em3]Information coming soon...[em3]"
64,Gd,Gadolinium,6,26,1,"[em3]Information coming soon...[em3]"
65,Tb,Terbium,6,27,1,"[em3]Information coming soon...[em3]"
66,Dy,Dysprosium,6,28,1,"[em3]Information coming soon...[em3]"
67,Ho,Holmium,6,29,1,"[em3]Information coming soon...[em3]"
68,Er,Erbium,6,30,1,"[em3]Information coming soon...[em3]"
69,Tm,Thulium,6,31,1,"[em3]Information coming soon...[em3]"
70,Yb,Ytterbium,6,32,1,"[em3]Information coming soon...[em3]"
71,Lu,Lutetium,6,3,1,"[em3]Information coming soon...[em3]"
72,Hf,Hafnium,6,4,1,"[em3]Information coming soon...[em3]"
73,Ta,Tantalum,6,5,1,"[em3]Information coming soon...[em3]"
74,W,Tungsten,6,6,1,"[em3]Information coming soon...[em3]"
75,Re,Rhenium,6,7,1,"[em3]Information coming soon...[em3]"
76,Os,Osmium,6,8,1,"[em3]Information coming soon...[em3]"
77,Ir,Iridium,6,9,1,"[em3]Information coming soon...[em3]"
78,Pt,Platinum,6,10,1,"[em3]Information coming soon...[em3]"
79,Au,Gold,6,11,1,"[em3]Information coming soon...[em3]"
80,Hg,Mercury,6,12,1,"[em3]Information coming soon...[em3]"
81,Tl,Thallium,6,13,1,"[em3]Information coming soon...[em3]"
82,Pb,Lead,6,14,1,"[em3]Information coming soon...[em3]"
83,Bi,Bismuth,6,15,1,"[em3]Information coming soon...[em3]"
84,Po,Polonium,6,16,1,"[em3]Information coming soon...[em3]"
85,At,Astatine,6,17,1,"[em3]Information coming soon...[em3]"
86,Rn,Radon,6,18,1,"[em3]Information coming soon...[em3]"
87,Fr,Francium,7,1,1,"[em3]Information coming soon...[em3]"
88,Ra,Radium,7,2,1,"[em3]Information coming soon...[em3]"
89,Ac,Actinium,7,19,1,"[em3]Information coming soon...[em3]"
90,Th,Thorium,7,20,1,"[em3]Information coming soon...[em3]"
91,Pa,Protactinium,7,21,0,"[em3]Information coming soon...[em3]"
92,U,Uranium,7,22,1,"[em3]Information coming soon...[em3]"
93,Np,Neptunium,7,23,0,"[em3]Information coming soon...[em3]"
94,Pu,Plutonium,7,24,1,"[em3]Information coming soon...[em3]"
95,Am,Americium,7,25,1,"[em3]Information coming soon...[em3]"
96,Cm,Curium,7,26,0,"[em3]Information coming soon...[em3]"
97,Bk,Berkelium,7,27,0,"[em3]Information coming soon...[em3]"
98,Cf,Californium,7,28,0,"[em3]Information coming soon...[em3]"
99,Es,Einsteinium,7,29,0,"[em3]Information coming soon...[em3]"
100,Fm,Fermium,7,30,0,"[em3]Information coming soon...[em3]"
101,Md,Mendelevium,7,31,0,"[em3]Information coming soon...[em3]"
102,No,Nobelium,7,32,0,"[em3]Information coming soon...[em3]"
103,Lr,Lawrencium,7,3,0,"[em3]Information coming soon...[em3]"
104,Rf,Rutherfordium,7,4,0,"[em3]Information coming soon...[em3]"
105,Db,Dubnium,7,5,0,"[em3]Information coming soon...[em3]"
106,Sg,Seaborgium,7,6,0,"[em3]Information coming soon...[em3]"
107,Bh,Bohrium,7,7,0,"[em3]Information coming soon...[em3]"
108,Hs,Hassium,7,8,0,"[em3]Information coming soon...[em3]"
109,Mt,Meitnerium,7,9,0,"[em3]Information coming soon...[em3]"
110,Ds,Darmstadtium,7,10,0,"[em3]Information coming soon...[em3]"
111,Rg,Roentgenium,7,11,0,"[em3]Information coming soon...[em3]"
112,Cn,Copernicium,7,12,0,"[em3]Information coming soon...[em3]"
113,Uut,Ununtrium,7,13,0,"[em3]Information coming soon...[em3]"
114,Fl,Flerovium,7,14,0,"[em3]Information coming soon...[em3]"
115,Uup,Ununpentium,7,15,0,"[em3]Information coming soon...[em3]"
116,Lv,Livermorium,7,16,0,"[em3]Information coming soon...[em3]"
117,Uus,Ununseptium,7,17,0,"[em3]Information coming soon...[em3]"
118,Uuo,Ununoctium,7,18,0,"[em3]Information coming soon...[em3]"
