symbol,protons,neutrons,halflife
n,0,1,881.5
H,1,0,infinity
H,1,1,infinity
H,1,2,3.888E8
H,1,4,7.995E-23
H,1,5,2.848E-22
H,1,6,9.152E-15
He,2,1,infinity
He,2,2,infinity
He,2,3,7.595E-22
He,2,4,0.801
He,2,5,3.038E-21
He,2,6,0.119
He,2,8,1.519E-21
Li,3,1,7.557E-23
Li,3,2,3.038E-22
Li,3,3,infinity
Li,3,4,infinity
Li,3,5,0.84
Li,3,6,0.178
Li,3,8,0.00875
Li,3,9,1E-8
Be,4,2,4.953E-21
Be,4,3,4599936
Be,4,4,8.181E-17
Be,4,5,infinity
Be,4,6,4.377E13
Be,4,7,13.81
Be,4,8,0.0215
Be,4,9,2.7E-21
Be,4,10,0.00435
Be,4,11,2E-7
Be,4,12,2E-7
B,5,2,3.255E-22
B,5,3,0.77
B,5,4,8.439E-19
B,5,5,infinity
B,5,6,infinity
B,5,7,0.0202
B,5,8,0.0173
B,5,9,0.0125
B,5,10,0.00993
B,5,11,1.9E-10
B,5,12,0.00508
B,5,13,2.6E-8
B,5,14,0.00292
C,6,2,1.981E-21
C,6,3,0.127
C,6,4,19.308
C,6,5,1220.04
C,6,6,infinity
C,6,7,infinity
C,6,8,1.799E11
C,6,9,2.449
C,6,10,0.747
C,6,11,0.193
C,6,12,0.092
C,6,13,0.049
C,6,14,0.014
C,6,15,3E-8
C,6,16,0.0061
N,7,4,5.49E-22
N,7,5,0.011
N,7,6,597.9
N,7,7,infinity
N,7,8,infinity
N,7,9,7.13
N,7,10,4.173
N,7,11,0.62
N,7,12,0.336
N,7,13,0.136
N,7,14,0.083
N,7,15,2E-2
N,7,16,0.0145
N,7,17,5.2E-8
O,8,4,1.139E-21
O,8,5,0.00858
O,8,6,70.62
O,8,7,122.24
O,8,8,infinity
O,8,9,infinity
O,8,10,infinity
O,8,11,26.88
O,8,12,13.51
O,8,13,3.42
O,8,14,2.25
O,8,15,0.097
O,8,16,0.065
O,8,18,4E-8
O,8,19,2.6E-7
O,8,20,1E-7
F,9,6,4.557E-22
F,9,7,1.139E-20
F,9,8,64.49
F,9,9,6586.2
F,9,10,infinity
F,9,11,11.07
F,9,12,4.158
F,9,13,4.23
F,9,14,2.23
F,9,15,7
F,9,16,0.08
F,9,17,0.0097
F,9,18,0.005
F,9,19,4E-8
F,9,20,0.0025
F,9,22,2.5E-7
Ne,10,6,9E-21
Ne,10,7,0.109
Ne,10,8,1.667
Ne,10,9,17.22
Ne,10,10,infinity
Ne,10,11,infinity
Ne,10,12,infinity
Ne,10,13,37.24
Ne,10,14,202.8
Ne,10,15,0.602
Ne,10,16,0.197
Ne,10,17,0.0315
Ne,10,18,0.0189
Ne,10,19,0.0148
Ne,10,20,0.0073
Ne,10,21,0.0034
Ne,10,22,0.0035
Ne,10,23,1.8E-7
Ne,10,24,6E-8
Na,11,7,1.3E-21
Na,11,8,4E-8
Na,11,9,0.448
Na,11,10,22.49
Na,11,11,8.213E7
Na,11,12,infinity
Na,11,13,53989.2
Na,11,14,59.1
Na,11,15,1.0713
Na,11,16,0.301
Na,11,17,0.0305
Na,11,18,0.0449
Na,11,19,0.048
Na,11,20,0.017
Na,11,21,1.32E-2
Na,11,22,0.008
Na,11,23,0.0055
Na,11,24,0.0015
Na,11,25,1.8E-7
Na,11,26,6E-8
Mg,12,7,4E-12
Mg,12,8,0.0908
Mg,12,9,0.122
Mg,12,10,3.876
Mg,12,11,11.317
Mg,12,12,infinity
Mg,12,13,infinity
Mg,12,14,infinity
Mg,12,15,567.48
Mg,12,16,75294
Mg,12,17,1.3
Mg,12,18,0.335
Mg,12,19,0.232
Mg,12,20,0.086
Mg,12,21,0.0905
Mg,12,22,0.02
Mg,12,23,0.07
Mg,12,24,0.0039
Mg,12,25,2.6E-7
Mg,12,26,2.6E-7
Mg,12,27,1.8E-7
Mg,12,28,1.7E-7
Al,13,8,3.5E-8
Al,13,9,0.0911
Al,13,10,0.446
Al,13,11,2.053
Al,13,12,7.183
Al,13,13,2.263E13
Al,13,14,infinity
Al,13,15,134.484
Al,13,16,393.6
Al,13,17,3.62
Al,13,18,6.44E-1
Al,13,19,0.033
Al,13,20,0.0417
Al,13,21,0.042
Al,13,22,0.0372
Al,13,23,0.09
Al,13,24,0.0107
Al,13,25,0.0076
Al,13,26,0.0076
Al,13,27,2.6E-7
Al,13,28,2.6E-7
Al,13,29,1.7E-7
Al,13,30,1.7E-7
Si,14,8,0.029
Si,14,9,0.0423
Si,14,10,0.141
Si,14,11,0.22
Si,14,12,2.229
Si,14,13,4.15
Si,14,14,infinity
Si,14,15,infinity
Si,14,16,infinity
Si,14,17,9438
Si,14,18,4.828E9
Si,14,19,6.11
Si,14,20,2.77
Si,14,21,0.78
Si,14,22,0.45
Si,14,23,0.09
Si,14,24,1E-6
Si,14,25,0.0475
Si,14,26,0.033
Si,14,27,0.02
Si,14,28,0.0125
Si,14,29,6E-8
Si,14,30,3.6E-7
P,15,10,3E-8
P,15,11,0.0437
P,15,12,0.26
P,15,13,0.27
P,15,14,4.142
P,15,15,149.88
P,15,16,infinity
P,15,17,1232236.8
P,15,18,2190240
P,15,19,12.43
P,15,20,47.3
P,15,21,5.6
P,15,22,2.31
P,15,23,0.64
P,15,24,0.28
P,15,25,1.25E-1
P,15,26,0.1
P,15,27,0.0485
P,15,28,0.0365
P,15,29,0.0185
P,15,30,2E-7
P,15,31,2E-7
S,16,10,7.9E-8
S,16,11,0.0155
S,16,12,0.125
S,16,13,0.187
S,16,14,1.178
S,16,15,2.572
S,16,16,infinity
S,16,17,infinity
S,16,18,infinity
S,16,19,7548768
S,16,20,infinity
S,16,21,303
S,16,22,10218
S,16,23,11.5
S,16,24,8.8
S,16,25,1.99
S,16,26,1.03
S,16,27,0.28
S,16,28,0.1
S,16,29,0.068
S,16,30,0.05
S,16,32,2E-7
S,16,33,2E-7
Cl,17,12,2E-8
Cl,17,13,3E-8
Cl,17,14,0.15
Cl,17,15,0.298
Cl,17,16,2.511
Cl,17,17,1.526
Cl,17,17,1920
Cl,17,18,infinity
Cl,17,19,9.499E12
Cl,17,20,infinity
